Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease_state,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue
SRR6168918,RNA-Seq,300,14097135900,PRJNA414172,SAMN07780976,5544556386,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Control,SRX3279768,GSM2810102,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-09-27T00:00:00Z,2017-10-13T08:54:00Z,1,GSM2810102,"Control\, Exosomes",SRP119895,Plasma-derived exosomes
SRR6168919,RNA-Seq,300,14302929900,PRJNA414172,SAMN07780975,5605131335,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Control,SRX3279769,GSM2810103,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-09-27T00:00:00Z,2017-10-13T08:32:00Z,1,GSM2810103,"Control\, Exosomes",SRP119895,Plasma-derived exosomes
SRR6168920,RNA-Seq,300,13701330000,PRJNA414172,SAMN07780974,5285404985,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Control,SRX3279770,GSM2810104,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-09-27T00:00:00Z,2017-10-13T08:38:00Z,1,GSM2810104,"Control\, Exosomes",SRP119895,Plasma-derived exosomes
SRR6168921,RNA-Seq,300,17461694100,PRJNA414172,SAMN07780973,6874982805,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Control,SRX3279771,GSM2810105,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-09-27T00:00:00Z,2017-10-13T09:13:00Z,1,GSM2810105,"Control\, Exosomes",SRP119895,Plasma-derived exosomes
SRR6168922,RNA-Seq,300,15326337900,PRJNA414172,SAMN07780972,6045051686,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Control,SRX3279772,GSM2810106,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-09-27T00:00:00Z,2017-10-13T08:42:00Z,1,GSM2810106,"Control\, Exosomes",SRP119895,Plasma-derived exosomes
SRR6168923,RNA-Seq,300,15114706200,PRJNA414172,SAMN07780971,5913294295,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Control,SRX3279773,GSM2810107,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-09-27T00:00:00Z,2017-10-13T09:08:00Z,1,GSM2810107,"Control\, Exosomes",SRP119895,Plasma-derived exosomes
SRR6168924,RNA-Seq,300,14393902800,PRJNA414172,SAMN07780970,5644451924,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Esophagitis,SRX3279774,GSM2810108,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-09-27T00:00:00Z,2017-10-13T08:47:00Z,1,GSM2810108,"Esophagitis\, Exosomes",SRP119895,Plasma-derived exosomes
SRR6168925,RNA-Seq,300,14774789400,PRJNA414172,SAMN07780969,5748819199,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Esophagitis,SRX3279775,GSM2810109,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-09-27T00:00:00Z,2017-10-13T08:37:00Z,1,GSM2810109,"Esophagitis\, Exosomes",SRP119895,Plasma-derived exosomes
SRR6168926,RNA-Seq,300,14248721700,PRJNA414172,SAMN07780977,5505780861,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Esophagitis,SRX3279776,GSM2810110,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-09-27T00:00:00Z,2017-10-13T08:45:00Z,1,GSM2810110,"Esophagitis\, Exosomes",SRP119895,Plasma-derived exosomes
SRR6168927,RNA-Seq,300,16824274800,PRJNA414172,SAMN07780960,6491756925,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Esophagitis,SRX3279777,GSM2810111,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-09-27T00:00:00Z,2017-10-13T08:54:00Z,1,GSM2810111,"Esophagitis\, Exosomes",SRP119895,Plasma-derived exosomes
SRR6168928,RNA-Seq,300,13651586400,PRJNA414172,SAMN07780968,5245596229,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Esophagitis,SRX3279778,GSM2810112,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-09-27T00:00:00Z,2017-10-13T08:33:00Z,1,GSM2810112,"Esophagitis\, Exosomes",SRP119895,Plasma-derived exosomes
