Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue_type
SRR6762724,RNA-Seq,300,14581457100,PRJNA435587,SAMN08581198,5952307223,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3734395,GSM3020198,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-02-25T00:00:00Z,2018-02-22T15:19:00Z,1,GSM3020198,normal tissue,SRP133303,normal tissue
SRR6762725,RNA-Seq,300,15279977100,PRJNA435587,SAMN08581197,6284861698,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3734396,GSM3020199,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-02-25T00:00:00Z,2018-02-22T15:16:00Z,1,GSM3020199,normal tissue,SRP133303,normal tissue
SRR6762726,RNA-Seq,300,13723467000,PRJNA435587,SAMN08581196,5693031142,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3734397,GSM3020200,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-02-25T00:00:00Z,2018-02-22T15:43:00Z,1,GSM3020200,normal tissue,SRP133303,normal tissue
SRR6762727,RNA-Seq,300,15341248500,PRJNA435587,SAMN08581195,6375892403,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3734398,GSM3020201,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-02-25T00:00:00Z,2018-02-22T15:16:00Z,1,GSM3020201,normal tissue,SRP133303,normal tissue
SRR6762728,RNA-Seq,300,15245415900,PRJNA435587,SAMN08581194,6288466855,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3734399,GSM3020202,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-02-25T00:00:00Z,2018-02-22T15:17:00Z,1,GSM3020202,normal tissue,SRP133303,normal tissue
SRR6762729,RNA-Seq,300,16974832800,PRJNA435587,SAMN08581193,6962630783,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3734400,GSM3020203,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-02-25T00:00:00Z,2018-02-22T15:12:00Z,1,GSM3020203,normal tissue,SRP133303,normal tissue
SRR6762731,RNA-Seq,300,16209005100,PRJNA435587,SAMN08581191,6603908416,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3734402,GSM3020205,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-02-25T00:00:00Z,2018-02-22T15:31:00Z,1,GSM3020205,esophageal squamous cell carcinoma,SRP133303,esophageal squamous cell carcinoma
SRR6762732,RNA-Seq,300,13875952200,PRJNA435587,SAMN08581190,5664565797,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3734403,GSM3020206,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-02-25T00:00:00Z,2018-02-22T15:34:00Z,1,GSM3020206,esophageal squamous cell carcinoma,SRP133303,esophageal squamous cell carcinoma
SRR6762733,RNA-Seq,300,15923349900,PRJNA435587,SAMN08581189,6492307921,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3734404,GSM3020207,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-02-25T00:00:00Z,2018-02-22T15:52:00Z,1,GSM3020207,esophageal squamous cell carcinoma,SRP133303,esophageal squamous cell carcinoma
SRR6762734,RNA-Seq,300,14728784700,PRJNA435587,SAMN08581188,6086031551,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3734405,GSM3020208,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-02-25T00:00:00Z,2018-02-22T15:19:00Z,1,GSM3020208,esophageal squamous cell carcinoma,SRP133303,esophageal squamous cell carcinoma
SRR6762735,RNA-Seq,300,15479487300,PRJNA435587,SAMN08581187,6343725665,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3734406,GSM3020209,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-02-25T00:00:00Z,2018-02-22T15:48:00Z,1,GSM3020209,esophageal squamous cell carcinoma,SRP133303,esophageal squamous cell carcinoma
SRR6762736,RNA-Seq,300,14142318600,PRJNA435587,SAMN08581186,5833938301,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3734407,GSM3020210,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-02-25T00:00:00Z,2018-02-22T15:14:00Z,1,GSM3020210,esophageal squamous cell carcinoma,SRP133303,esophageal squamous cell carcinoma
SRR6762723,RNA-Seq,300,15607010100,PRJNA435587,SAMN08581179,6419812574,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3734394,GSM3020197,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-02-25T00:00:00Z,2018-02-22T15:56:00Z,1,GSM3020197,normal tissue,SRP133303,normal tissue
SRR6762730,RNA-Seq,300,12757779900,PRJNA435587,SAMN08581192,5264838708,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3734401,GSM3020204,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-02-25T00:00:00Z,2018-02-22T15:24:00Z,1,GSM3020204,esophageal squamous cell carcinoma,SRP133303,esophageal squamous cell carcinoma
