Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tumor_or_normal
SRR8550575,RNA-Seq,202,11887353772,PRJNA521512,SAMN10891740,5622474669,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352489,GSM3595878,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:53:00Z,1,GSM3595878,gastric mucosa,SRP184693,adenocarcinoma
SRR8550579,RNA-Seq,202,12638081924,PRJNA521512,SAMN10891734,6262887454,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352493,GSM3595882,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T12:01:00Z,1,GSM3595882,gastric mucosa,SRP184693,adenocarcinoma
SRR8550580,RNA-Seq,202,10117392806,PRJNA521512,SAMN10891732,5088369029,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352494,GSM3595883,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:58:00Z,1,GSM3595883,gastric mucosa,SRP184693,paired normal
SRR8550581,RNA-Seq,202,12371802292,PRJNA521512,SAMN10891731,5818319309,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352495,GSM3595884,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:55:00Z,1,GSM3595884,gastric mucosa,SRP184693,adenocarcinoma
SRR8550582,RNA-Seq,202,12148675516,PRJNA521512,SAMN10891873,5784379431,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352496,GSM3595885,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:56:00Z,1,GSM3595885,gastric mucosa,SRP184693,paired normal
SRR8550585,RNA-Seq,202,12244691772,PRJNA521512,SAMN10891868,5828681161,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352499,GSM3595888,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:55:00Z,1,GSM3595888,gastric mucosa,SRP184693,adenocarcinoma
SRR8550589,RNA-Seq,202,11824151204,PRJNA521512,SAMN10891862,5515651938,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352503,GSM3595892,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:55:00Z,1,GSM3595892,gastric mucosa,SRP184693,adenocarcinoma
SRR8550593,RNA-Seq,202,10036132246,PRJNA521512,SAMN10891856,4982314544,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352507,GSM3595896,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:55:00Z,1,GSM3595896,gastric mucosa,SRP184693,adenocarcinoma
SRR8550598,RNA-Seq,202,10167142578,PRJNA521512,SAMN10891848,4923664752,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352512,GSM3595901,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:56:00Z,1,GSM3595901,gastric mucosa,SRP184693,paired normal
SRR8550606,RNA-Seq,202,14656213424,PRJNA521512,SAMN10891666,7143777987,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352520,GSM3595909,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T12:07:00Z,1,GSM3595909,gastric mucosa,SRP184693,adenocarcinoma
