Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sample_type,source_name,SRA Study,tissue_type
SRR8931987,RNA-Seq,202,7680341990,PRJNA533799,SAMN11467212,5170935933,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5712728,GSM3731534,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-04-19T14:38:00Z,1,GSM3731534,normal,ESCC adjacent normal tissue,SRP193095,ESCC
SRR8931988,RNA-Seq,202,6716809060,PRJNA533799,SAMN11467211,4504775256,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5712729,GSM3731535,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-04-19T14:38:00Z,1,GSM3731535,cancer,ESCC tumor tissue,SRP193095,ESCC
SRR8931989,RNA-Seq,202,7766413382,PRJNA533799,SAMN11467210,3970318109,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5712730,GSM3731536,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-04-19T14:37:00Z,1,GSM3731536,normal,ESCC adjacent normal tissue,SRP193095,ESCC
SRR8931990,RNA-Seq,202,9041439402,PRJNA533799,SAMN11467209,4706638772,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5712731,GSM3731537,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-04-19T14:44:00Z,1,GSM3731537,cancer,ESCC tumor tissue,SRP193095,ESCC
SRR8931991,RNA-Seq,202,9156592330,PRJNA533799,SAMN11467208,5212344969,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5712732,GSM3731538,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-04-19T14:40:00Z,1,GSM3731538,normal,ESCC adjacent normal tissue,SRP193095,ESCC
SRR8931992,RNA-Seq,202,9075794552,PRJNA533799,SAMN11467207,4875500238,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5712733,GSM3731539,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-04-19T14:40:00Z,1,GSM3731539,cancer,ESCC tumor tissue,SRP193095,ESCC
SRR8931993,RNA-Seq,202,7944461636,PRJNA533799,SAMN11467206,4620123535,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5712734,GSM3731540,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-04-19T14:39:00Z,1,GSM3731540,normal,ESCC adjacent normal tissue,SRP193095,ESCC
SRR8931994,RNA-Seq,202,10003659332,PRJNA533799,SAMN11467205,5620930354,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5712735,GSM3731541,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-04-19T14:44:00Z,1,GSM3731541,cancer,ESCC tumor tissue,SRP193095,ESCC
SRR8931995,RNA-Seq,202,8374573368,PRJNA533799,SAMN11467204,4281649348,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5712736,GSM3731542,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-04-19T14:44:00Z,1,GSM3731542,normal,ESCC adjacent normal tissue,SRP193095,ESCC
SRR8931996,RNA-Seq,202,9172209354,PRJNA533799,SAMN11467203,4668671802,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5712737,GSM3731543,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-04-19T14:45:00Z,1,GSM3731543,cancer,ESCC tumor tissue,SRP193095,ESCC
SRR8931997,RNA-Seq,202,7780259876,PRJNA533799,SAMN11467202,5207013296,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5712738,GSM3731544,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-04-19T14:38:00Z,1,GSM3731544,normal,ESCC adjacent normal tissue,SRP193095,ESCC
