Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,subject/sample_id,tissue,tissue_subtype
SRR17686674,RNA-Seq,300,12658561800,PRJNA799125,SAMN25145260,4146126680,FJNU,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13849950,Illumina HiSeq 2500,GSM5828370,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-01-23T00:00:00Z,2022-01-20T23:14:00Z,1,GSM5828370,esophagus,SRP356037,271364,esophagus,adjacent normal tissue
SRR17686675,RNA-Seq,300,14015691600,PRJNA799125,SAMN25145261,4573313987,FJNU,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13849949,Illumina HiSeq 2500,GSM5828369,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-01-23T00:00:00Z,2022-01-20T23:20:00Z,1,GSM5828369,esophagus,SRP356037,271364,esophagus,ESCC tumor
SRR17686676,RNA-Seq,300,13107800100,PRJNA799125,SAMN25145262,4333617265,FJNU,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13849948,Illumina HiSeq 2500,GSM5828368,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-01-23T00:00:00Z,2022-01-20T23:16:00Z,1,GSM5828368,esophagus,SRP356037,271121,esophagus,adjacent normal tissue
SRR17686677,RNA-Seq,300,12943707300,PRJNA799125,SAMN25145263,4224301041,FJNU,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13849947,Illumina HiSeq 2500,GSM5828367,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-01-23T00:00:00Z,2022-01-20T23:24:00Z,1,GSM5828367,esophagus,SRP356037,271121,esophagus,ESCC tumor
SRR17686678,RNA-Seq,300,12072894000,PRJNA799125,SAMN25145264,3939399975,FJNU,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13849946,Illumina HiSeq 2500,GSM5828366,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-01-23T00:00:00Z,2022-01-20T23:21:00Z,1,GSM5828366,esophagus,SRP356037,271116,esophagus,adjacent normal tissue
SRR17686679,RNA-Seq,300,12752907900,PRJNA799125,SAMN25145265,4201774999,FJNU,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13849945,Illumina HiSeq 2500,GSM5828365,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-01-23T00:00:00Z,2022-01-20T23:21:00Z,1,GSM5828365,esophagus,SRP356037,271116,esophagus,ESCC tumor
SRR17686680,RNA-Seq,300,13383234300,PRJNA799125,SAMN25145266,4407210971,FJNU,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13849944,Illumina HiSeq 2500,GSM5828364,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-01-23T00:00:00Z,2022-01-20T23:27:00Z,1,GSM5828364,esophagus,SRP356037,270954,esophagus,adjacent normal tissue
SRR17686681,RNA-Seq,300,12284523000,PRJNA799125,SAMN25145267,4075951898,FJNU,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13849943,Illumina HiSeq 2500,GSM5828363,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-01-23T00:00:00Z,2022-01-20T23:45:00Z,1,GSM5828363,esophagus,SRP356037,270954,esophagus,ESCC tumor
SRR17686682,RNA-Seq,300,12537765000,PRJNA799125,SAMN25145268,4141357952,FJNU,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13849942,Illumina HiSeq 2500,GSM5828362,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-01-23T00:00:00Z,2022-01-20T23:27:00Z,1,GSM5828362,esophagus,SRP356037,270678,esophagus,adjacent normal tissue
SRR17686683,RNA-Seq,300,12705801900,PRJNA799125,SAMN25145269,4193389458,FJNU,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13849941,Illumina HiSeq 2500,GSM5828361,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-01-23T00:00:00Z,2022-01-20T23:16:00Z,1,GSM5828361,esophagus,SRP356037,270678,esophagus,ESCC tumor
