Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,intentional_duplicate (run),Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue,treatment
SRR19992719,RNA-Seq,GRCH38.P7,76,1830798200,PRJNA855976,SAMN29512360,330799717,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033922,NextSeq 500,,GSM6294177,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:12:00Z,1,GSM6294177,healthy squamous cell tissue from patient with esophageal adenocarcinoma,SRP385004,healthy squamous cell tissue from patient with esophageal adenocarcinoma,untreated
SRR19992720,RNA-Seq,GRCH38.P7,75,1958726979,PRJNA855976,SAMN29512361,328706374,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033921,NextSeq 500,,GSM6294176,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:12:00Z,1,GSM6294176,healthy squamous cell tissue from patient with esophageal adenocarcinoma,SRP385004,healthy squamous cell tissue from patient with esophageal adenocarcinoma,untreated
SRR19992721,RNA-Seq,GRCH38.P7,75,1967853599,PRJNA855976,SAMN29512362,322163545,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033920,NextSeq 500,,GSM6294175,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:12:00Z,1,GSM6294175,healthy squamous cell tissue from patient with esophageal adenocarcinoma,SRP385004,healthy squamous cell tissue from patient with esophageal adenocarcinoma,untreated
SRR19992722,RNA-Seq,GRCH38.P7,75,2284378520,PRJNA855976,SAMN29512363,375782302,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033919,NextSeq 500,,GSM6294174,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:11:00Z,1,GSM6294174,healthy squamous cell tissue from patient with esophageal adenocarcinoma,SRP385004,healthy squamous cell tissue from patient with esophageal adenocarcinoma,untreated
SRR19992723,RNA-Seq,GRCH38.P7,75,1977856685,PRJNA855976,SAMN29512364,331720333,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033918,NextSeq 500,,GSM6294173,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:10:00Z,1,GSM6294173,healthy squamous cell tissue from patient with esophageal adenocarcinoma,SRP385004,healthy squamous cell tissue from patient with esophageal adenocarcinoma,untreated
SRR19992724,RNA-Seq,GRCH38.P7,75,2430924084,PRJNA855976,SAMN29512365,398857688,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033917,NextSeq 500,,GSM6294172,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:12:00Z,1,GSM6294172,healthy squamous cell tissue from patient with esophageal adenocarcinoma,SRP385004,healthy squamous cell tissue from patient with esophageal adenocarcinoma,untreated
SRR19992725,RNA-Seq,GRCH38.P7,75,1908515809,PRJNA855976,SAMN29512366,312932539,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033916,NextSeq 500,,GSM6294171,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:13:00Z,1,GSM6294171,healthy squamous cell tissue from patient with esophageal adenocarcinoma,SRP385004,healthy squamous cell tissue from patient with esophageal adenocarcinoma,untreated
SRR19992726,RNA-Seq,GRCH38.P7,75,2145501243,PRJNA855976,SAMN29512367,363153297,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033915,NextSeq 500,,GSM6294170,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:15:00Z,1,GSM6294170,healthy squamous cell tissue from patient with esophageal adenocarcinoma,SRP385004,healthy squamous cell tissue from patient with esophageal adenocarcinoma,untreated
SRR19992727,RNA-Seq,GRCH38.P7,75,2216698410,PRJNA855976,SAMN29512368,354715090,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033914,NextSeq 500,,GSM6294169,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:14:00Z,1,GSM6294169,healthy squamous cell tissue from patient with esophageal adenocarcinoma,SRP385004,healthy squamous cell tissue from patient with esophageal adenocarcinoma,untreated
SRR19992728,RNA-Seq,GRCH38.P7,75,1903867558,PRJNA855976,SAMN29512369,309495984,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033913,NextSeq 500,,GSM6294168,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:16:00Z,1,GSM6294168,healthy squamous cell tissue from patient with esophageal adenocarcinoma,SRP385004,healthy squamous cell tissue from patient with esophageal adenocarcinoma,untreated
