Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease_state,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue
SRR21609210,RNA-Seq,299,8771895857,PRJNA881354,SAMN30901533,2678305079,adjacent normal,FUDAN UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Early Esophageal Squamous Cell Carcinoma,SRX17610311,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6589227,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-09T00:00:00Z,2022-09-17T10:30:00Z,1,GSM6589227,esophagus tissue,SRP397724,esophagus tissue
SRR21609211,RNA-Seq,299,7559951660,PRJNA881354,SAMN30901534,2465274802,adjacent normal,FUDAN UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Early Esophageal Squamous Cell Carcinoma,SRX17610310,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6589226,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-09T00:00:00Z,2022-09-17T09:04:00Z,1,GSM6589226,esophagus tissue,SRP397724,esophagus tissue
SRR21609212,RNA-Seq,299,9364072936,PRJNA881354,SAMN30901535,3056505320,adjacent normal,FUDAN UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Early Esophageal Squamous Cell Carcinoma,SRX17610309,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6589225,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-09T00:00:00Z,2022-09-17T10:03:00Z,1,GSM6589225,esophagus tissue,SRP397724,esophagus tissue
SRR21609213,RNA-Seq,299,8808430604,PRJNA881354,SAMN30901536,2880593017,adjacent normal,FUDAN UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Early Esophageal Squamous Cell Carcinoma,SRX17610308,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6589224,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-09T00:00:00Z,2022-09-17T11:19:00Z,1,GSM6589224,esophagus tissue,SRP397724,esophagus tissue
SRR21609214,RNA-Seq,299,8472754134,PRJNA881354,SAMN30901537,2786210694,adjacent normal,FUDAN UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Early Esophageal Squamous Cell Carcinoma,SRX17610307,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6589223,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-09T00:00:00Z,2022-09-17T17:07:00Z,1,GSM6589223,esophagus tissue,SRP397724,esophagus tissue
SRR21609215,RNA-Seq,299,8965241732,PRJNA881354,SAMN30901538,2918079482,adjacent normal,FUDAN UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Early Esophageal Squamous Cell Carcinoma,SRX17610306,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6589222,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-09T00:00:00Z,2022-09-17T09:56:00Z,1,GSM6589222,esophagus tissue,SRP397724,esophagus tissue
SRR21609216,RNA-Seq,299,12825902067,PRJNA881354,SAMN30901539,3970580368,adjacent normal,FUDAN UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Early Esophageal Squamous Cell Carcinoma,SRX17610305,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6589221,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-09T00:00:00Z,2022-09-17T12:49:00Z,1,GSM6589221,esophagus tissue,SRP397724,esophagus tissue
SRR21609197,RNA-Seq,299,12739870092,PRJNA881354,SAMN30901520,3869871539,tumor,FUDAN UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Early Esophageal Squamous Cell Carcinoma,SRX17610324,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6589240,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-09T00:00:00Z,2022-09-17T10:23:00Z,1,GSM6589240,esophagus tissue,SRP397724,esophagus tissue
SRR21609198,RNA-Seq,299,9620121397,PRJNA881354,SAMN30901521,2971788923,tumor,FUDAN UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Early Esophageal Squamous Cell Carcinoma,SRX17610323,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6589239,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-09T00:00:00Z,2022-09-17T09:03:00Z,1,GSM6589239,esophagus tissue,SRP397724,esophagus tissue
SRR21609199,RNA-Seq,299,13290181796,PRJNA881354,SAMN30901522,4076037048,tumor,FUDAN UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Early Esophageal Squamous Cell Carcinoma,SRX17610322,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6589238,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-09T00:00:00Z,2022-09-17T11:23:00Z,1,GSM6589238,esophagus tissue,SRP397724,esophagus tissue
