Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue
SRR24843810,RNA-Seq,300,7111871700,PRJNA980719,SAMN35652605,2296922646,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608083,uncalculated,uncalculated,missing,NextSeq 500,GSM7462045,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:07:00Z,1,GSM7462045,esophageal tumor,SRP441399,Tumor
SRR24843811,RNA-Seq,300,2874813900,PRJNA980719,SAMN35652602,928692174,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608082,uncalculated,uncalculated,missing,NextSeq 500,GSM7462048,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:00:00Z,1,GSM7462048,esophageal tissue,SRP441399,Non-tumor
SRR24843812,RNA-Seq,300,5668877100,PRJNA980719,SAMN35652603,1828154660,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608081,uncalculated,uncalculated,missing,NextSeq 500,GSM7462047,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:05:00Z,1,GSM7462047,esophageal tissue,SRP441399,Non-tumor
SRR24843813,RNA-Seq,300,5653548300,PRJNA980719,SAMN35652604,1822078519,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608080,uncalculated,uncalculated,missing,NextSeq 500,GSM7462046,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:12:00Z,1,GSM7462046,esophageal tissue,SRP441399,Non-tumor
SRR24843814,RNA-Seq,300,5936731500,PRJNA980719,SAMN35652617,1931173463,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608079,uncalculated,uncalculated,missing,NextSeq 500,GSM7462033,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:03:00Z,1,GSM7462033,esophageal tumor,SRP441399,Tumor
SRR24843815,RNA-Seq,300,7415447400,PRJNA980719,SAMN35652606,2395389478,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608078,uncalculated,uncalculated,missing,NextSeq 500,GSM7462044,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:15:00Z,1,GSM7462044,esophageal tissue,SRP441399,Barretts esophagus
SRR24843816,RNA-Seq,300,6149002800,PRJNA980719,SAMN35652607,1979071081,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608077,uncalculated,uncalculated,missing,NextSeq 500,GSM7462043,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:08:00Z,1,GSM7462043,esophageal tumor,SRP441399,Tumor
SRR24843817,RNA-Seq,300,5023878000,PRJNA980719,SAMN35652608,1624705284,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608076,uncalculated,uncalculated,missing,NextSeq 500,GSM7462042,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:10:00Z,1,GSM7462042,esophageal tumor,SRP441399,Tumor
SRR24843818,RNA-Seq,300,7295223600,PRJNA980719,SAMN35652609,2356714092,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608075,uncalculated,uncalculated,missing,NextSeq 500,GSM7462041,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:21:00Z,1,GSM7462041,esophageal tissue,SRP441399,Non-tumor
SRR24843819,RNA-Seq,300,6825932100,PRJNA980719,SAMN35652610,2212835447,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608074,uncalculated,uncalculated,missing,NextSeq 500,GSM7462040,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:09:00Z,1,GSM7462040,esophageal tumor,SRP441399,Tumor
SRR24843820,RNA-Seq,300,6180597000,PRJNA980719,SAMN35652611,2010478338,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608073,uncalculated,uncalculated,missing,NextSeq 500,GSM7462039,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:21:00Z,1,GSM7462039,esophageal tissue,SRP441399,Non-tumor
SRR24843821,RNA-Seq,300,8075695500,PRJNA980719,SAMN35652612,2622389067,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608072,uncalculated,uncalculated,missing,NextSeq 500,GSM7462038,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:28:00Z,1,GSM7462038,esophageal tissue,SRP441399,Barretts esophagus
SRR24843822,RNA-Seq,300,7699288500,PRJNA980719,SAMN35652601,2501237682,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608071,uncalculated,uncalculated,missing,NextSeq 500,GSM7462049,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:08:00Z,1,GSM7462049,esophageal tissue,SRP441399,Non-tumor
SRR24843823,RNA-Seq,300,6618146700,PRJNA980719,SAMN35652613,2141918553,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608070,uncalculated,uncalculated,missing,NextSeq 500,GSM7462037,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:11:00Z,1,GSM7462037,esophageal tissue,SRP441399,Non-tumor
SRR24843824,RNA-Seq,300,6829349100,PRJNA980719,SAMN35652614,2221526214,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608069,uncalculated,uncalculated,missing,NextSeq 500,GSM7462036,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:25:00Z,1,GSM7462036,esophageal tumor,SRP441399,Tumor
SRR24843825,RNA-Seq,300,7587167700,PRJNA980719,SAMN35652615,2455549752,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608068,uncalculated,uncalculated,missing,NextSeq 500,GSM7462035,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:10:00Z,1,GSM7462035,esophageal tissue,SRP441399,Barretts esophagus
SRR24843826,RNA-Seq,300,8477288700,PRJNA980719,SAMN35652616,2751177047,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608067,uncalculated,uncalculated,missing,NextSeq 500,GSM7462034,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:12:00Z,1,GSM7462034,esophageal tissue,SRP441399,Barretts esophagus
SRR24843827,RNA-Seq,300,6239305200,PRJNA980719,SAMN35652629,2022925983,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608066,uncalculated,uncalculated,missing,NextSeq 500,GSM7462021,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:06:00Z,1,GSM7462021,esophageal tissue,SRP441399,Barretts esophagus
SRR24843828,RNA-Seq,300,6443174400,PRJNA980719,SAMN35652618,2091913897,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608065,uncalculated,uncalculated,missing,NextSeq 500,GSM7462032,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:03:00Z,1,GSM7462032,esophageal tissue,SRP441399,Non-tumor
SRR24843829,RNA-Seq,300,8755001100,PRJNA980719,SAMN35652619,2841068645,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608064,uncalculated,uncalculated,missing,NextSeq 500,GSM7462031,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:34:00Z,1,GSM7462031,esophageal tumor,SRP441399,Tumor
SRR24843830,RNA-Seq,300,8212431000,PRJNA980719,SAMN35652620,2661577354,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608063,uncalculated,uncalculated,missing,NextSeq 500,GSM7462030,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:11:00Z,1,GSM7462030,esophageal tissue,SRP441399,Non-tumor
SRR24843831,RNA-Seq,300,7367811900,PRJNA980719,SAMN35652621,2390078320,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608062,uncalculated,uncalculated,missing,NextSeq 500,GSM7462029,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:10:00Z,1,GSM7462029,esophageal tumor,SRP441399,Tumor
