Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue
SRR29339379,RNA-Seq,102,4383595758,PRJNA1121932,SAMN41769289,1416693262,Oragnoid,"DEPARTMENT OF BIODEFENSE RESEARCH, MEDICAL RESEARCH INSTITUTE, TOKYO MEDICAL AND DENTAL UNIVERSITY (TMDU)",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24855234,uncalculated,uncalculated,missing,NextSeq 2000,GSM8315936,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-25T00:00:00Z,2024-06-09T20:23:00Z,1,GSM8315936,Tumor,SRP512791,"Esophageal,Tumor"
SRR29339380,RNA-Seq,102,6993826350,PRJNA1121932,SAMN41769290,2247516585,Oragnoid,"DEPARTMENT OF BIODEFENSE RESEARCH, MEDICAL RESEARCH INSTITUTE, TOKYO MEDICAL AND DENTAL UNIVERSITY (TMDU)",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24855233,uncalculated,uncalculated,missing,NextSeq 2000,GSM8315935,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-25T00:00:00Z,2024-06-09T20:21:00Z,1,GSM8315935,Tumor,SRP512791,"Esophageal,Tumor"
SRR29339381,RNA-Seq,102,5127742164,PRJNA1121932,SAMN41769291,1649108578,Oragnoid,"DEPARTMENT OF BIODEFENSE RESEARCH, MEDICAL RESEARCH INSTITUTE, TOKYO MEDICAL AND DENTAL UNIVERSITY (TMDU)",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24855232,uncalculated,uncalculated,missing,NextSeq 2000,GSM8315934,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-25T00:00:00Z,2024-06-09T20:20:00Z,1,GSM8315934,Normal,SRP512791,"Esophageal,Normal"
SRR29339382,RNA-Seq,102,4738376442,PRJNA1121932,SAMN41769292,1524822475,Oragnoid,"DEPARTMENT OF BIODEFENSE RESEARCH, MEDICAL RESEARCH INSTITUTE, TOKYO MEDICAL AND DENTAL UNIVERSITY (TMDU)",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24855231,uncalculated,uncalculated,missing,NextSeq 2000,GSM8315933,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-25T00:00:00Z,2024-06-09T20:21:00Z,1,GSM8315933,Tumor,SRP512791,"Esophageal,Tumor"
SRR29339383,RNA-Seq,102,6359180514,PRJNA1121932,SAMN41769293,2042874778,Oragnoid,"DEPARTMENT OF BIODEFENSE RESEARCH, MEDICAL RESEARCH INSTITUTE, TOKYO MEDICAL AND DENTAL UNIVERSITY (TMDU)",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24855230,uncalculated,uncalculated,missing,NextSeq 2000,GSM8315932,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-25T00:00:00Z,2024-06-09T20:21:00Z,1,GSM8315932,Tumor,SRP512791,"Esophageal,Tumor"
SRR29339384,RNA-Seq,102,5096177856,PRJNA1121932,SAMN41769294,1641697525,Oragnoid,"DEPARTMENT OF BIODEFENSE RESEARCH, MEDICAL RESEARCH INSTITUTE, TOKYO MEDICAL AND DENTAL UNIVERSITY (TMDU)",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24855229,uncalculated,uncalculated,missing,NextSeq 2000,GSM8315931,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-25T00:00:00Z,2024-06-09T20:21:00Z,1,GSM8315931,Tumor,SRP512791,"Esophageal,Tumor"
SRR29339385,RNA-Seq,202,4710617780,PRJNA1121932,SAMN41769295,1505628325,Oragnoid,"DEPARTMENT OF BIODEFENSE RESEARCH, MEDICAL RESEARCH INSTITUTE, TOKYO MEDICAL AND DENTAL UNIVERSITY (TMDU)",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24855228,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8315930,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-25T00:00:00Z,2024-06-09T20:21:00Z,1,GSM8315930,Tumor,SRP512791,"Esophageal,Tumor"
SRR29339386,RNA-Seq,102,8039224656,PRJNA1121932,SAMN41769296,2578971807,Oragnoid,"DEPARTMENT OF BIODEFENSE RESEARCH, MEDICAL RESEARCH INSTITUTE, TOKYO MEDICAL AND DENTAL UNIVERSITY (TMDU)",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24855227,uncalculated,uncalculated,missing,NextSeq 2000,GSM8315929,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-25T00:00:00Z,2024-06-09T20:29:00Z,1,GSM8315929,Normal,SRP512791,"Esophageal,Normal"
SRR29339387,RNA-Seq,202,4942602054,PRJNA1121932,SAMN41769297,1572180277,Oragnoid,"DEPARTMENT OF BIODEFENSE RESEARCH, MEDICAL RESEARCH INSTITUTE, TOKYO MEDICAL AND DENTAL UNIVERSITY (TMDU)",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24855226,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8315928,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-25T00:00:00Z,2024-06-09T20:22:00Z,1,GSM8315928,Tumor,SRP512791,"Esophageal,Tumor"
SRR29339388,RNA-Seq,202,4944508732,PRJNA1121932,SAMN41769298,1588700924,Oragnoid,"DEPARTMENT OF BIODEFENSE RESEARCH, MEDICAL RESEARCH INSTITUTE, TOKYO MEDICAL AND DENTAL UNIVERSITY (TMDU)",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24855225,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8315927,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-25T00:00:00Z,2024-06-09T20:22:00Z,1,GSM8315927,Tumor,SRP512791,"Esophageal,Tumor"
SRR29339389,RNA-Seq,202,4783513116,PRJNA1121932,SAMN41769299,1541423671,Oragnoid,"DEPARTMENT OF BIODEFENSE RESEARCH, MEDICAL RESEARCH INSTITUTE, TOKYO MEDICAL AND DENTAL UNIVERSITY (TMDU)",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24855224,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8315926,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-25T00:00:00Z,2024-06-09T20:22:00Z,1,GSM8315926,Tumor,SRP512791,"Esophageal,Tumor"
SRR29339390,RNA-Seq,202,6885112026,PRJNA1121932,SAMN41769300,2193112749,Oragnoid,"DEPARTMENT OF BIODEFENSE RESEARCH, MEDICAL RESEARCH INSTITUTE, TOKYO MEDICAL AND DENTAL UNIVERSITY (TMDU)",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24855223,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8315925,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-25T00:00:00Z,2024-06-09T20:24:00Z,1,GSM8315925,Tumor,SRP512791,"Esophageal,Tumor"
