Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,read_name_barcode_proc_directive (run),ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue
SRR349747,RNA-Seq,38,508027396,PRJNA147913,SAMN00727896,240017250,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX099134,GSM802463,Illumina Genome Analyzer IIx,GSM802463: Tumor sample 9T,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,ignore,2012-12-05T00:00:00Z,2012-01-21T05:40:00Z,2,GSM802463,esophageal cell type,SRP008496,tumor
SRR349748,RNA-Seq,38,92987330,PRJNA147913,SAMN00727897,38489118,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX099135,GSM802464,Illumina Genome Analyzer IIx,GSM802464: Non-tumor sample 4N,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,ignore,2012-12-05T00:00:00Z,2012-01-21T05:40:00Z,2,GSM802464,esophageal cell type,SRP008496,non-tumor
SRR349749,RNA-Seq,38,260867454,PRJNA147913,SAMN00727898,120740879,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX099136,GSM802465,Illumina Genome Analyzer IIx,GSM802465: Non-tumor sample 5N,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,ignore,2012-12-05T00:00:00Z,2012-01-21T05:40:00Z,2,GSM802465,esophageal cell type,SRP008496,non-tumor
SRR349750,RNA-Seq,38,159836588,PRJNA147913,SAMN00727899,66343633,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX099137,GSM802466,Illumina Genome Analyzer IIx,GSM802466: Non-tumor sample 6N,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,ignore,2012-12-05T00:00:00Z,2012-01-21T05:40:00Z,2,GSM802466,esophageal cell type,SRP008496,non-tumor
SRR349751,RNA-Seq,38,301174966,PRJNA147913,SAMN00727900,138356528,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX099138,GSM802467,Illumina Genome Analyzer IIx,GSM802467: Non-tumor sample 8N,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,ignore,2012-12-05T00:00:00Z,2012-01-21T05:40:00Z,2,GSM802467,esophageal cell type,SRP008496,non-tumor
SRR349752,RNA-Seq,38,383464422,PRJNA147913,SAMN00727901,175073559,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX099139,GSM802468,Illumina Genome Analyzer IIx,GSM802468: Non-tumor sample 9N,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,ignore,2012-12-05T00:00:00Z,2012-01-21T05:40:00Z,2,GSM802468,esophageal cell type,SRP008496,non-tumor
SRR349741,RNA-Seq,38,265962000,PRJNA147913,SAMN00727890,113759464,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX099128,GSM802457,Illumina Genome Analyzer IIx,GSM802457: Tumor sample 1T,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,ignore,2012-12-05T00:00:00Z,2012-01-21T05:39:00Z,2,GSM802457,esophageal cell type,SRP008496,tumor
SRR349742,RNA-Seq,38,219360814,PRJNA147913,SAMN00727891,98778969,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX099129,GSM802458,Illumina Genome Analyzer IIx,GSM802458: Tumor sample 2T,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,ignore,2012-12-05T00:00:00Z,2012-01-21T05:40:00Z,2,GSM802458,esophageal cell type,SRP008496,tumor
SRR349743,RNA-Seq,38,157626926,PRJNA147913,SAMN00727892,62996395,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX099130,GSM802459,Illumina Genome Analyzer IIx,GSM802459: Tumor sample 3T,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,ignore,2012-12-05T00:00:00Z,2012-01-21T05:39:00Z,2,GSM802459,esophageal cell type,SRP008496,tumor
SRR349744,RNA-Seq,38,446575810,PRJNA147913,SAMN00727893,214770654,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX099131,GSM802460,Illumina Genome Analyzer IIx,GSM802460: Tumor sample 6T,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,ignore,2012-12-05T00:00:00Z,2012-01-21T05:40:00Z,2,GSM802460,esophageal cell type,SRP008496,tumor
SRR349745,RNA-Seq,38,289778918,PRJNA147913,SAMN00727894,141591036,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX099132,GSM802461,Illumina Genome Analyzer IIx,GSM802461: Tumor sample 7T,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,ignore,2012-12-05T00:00:00Z,2012-01-21T05:40:00Z,2,GSM802461,esophageal cell type,SRP008496,tumor
SRR349746,RNA-Seq,38,380242288,PRJNA147913,SAMN00727895,181840156,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX099133,GSM802462,Illumina Genome Analyzer IIx,GSM802462: Tumor sample 8T,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,ignore,2012-12-05T00:00:00Z,2012-01-21T05:40:00Z,2,GSM802462,esophageal cell type,SRP008496,tumor
